epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0439,1.91956,5.40824,1.5446,0.43615,0.28571,0.21061,0.04736,1.78712,10.4826,1.67709,0.000474349,0.000474349,0.000474349
2,64.8864,2.24641,5.17698,1.83533,0.54512,0.42857,0.37759,0.12425,2.06715,9.11681,1.81022,0.000931858,0.000931858,0.000931858
3,93.3157,2.40694,5.06823,1.94621,0.00944,0.28571,0.00394,0.00122,1.89188,206.139,1.48116,0.00137051,0.00137051,0.00137051
4,121.547,2.38041,4.74628,1.99469,0.0012,1,0.00694,0.00261,1.77632,26.0353,1.55452,0.00134412,0.00134412,0.00134412
5,146.789,2.44819,4.18214,2.0331,0.04209,0.14286,0.03457,0.0146,1.94432,6.20611,1.66628,0.00131582,0.00131582,0.00131582
6,173.703,2.31213,3.6033,1.94826,1,0.27447,0.32825,0.12592,2.22092,3.66174,1.75529,0.00128753,0.00128753,0.00128753
7,201.65,2.42576,3.51379,1.99303,0.37758,0.14286,0.19751,0.03807,1.70256,3.83074,1.5939,0.00125923,0.00125923,0.00125923
8,228.677,2.29556,3.29777,1.92809,0.2449,0.28571,0.20506,0.09673,1.8537,3.88047,1.60918,0.00123094,0.00123094,0.00123094
9,256.395,2.21427,3.16977,1.9071,0.9322,0.28571,0.32143,0.18473,1.68142,3.5038,1.5211,0.00120265,0.00120265,0.00120265
10,283.657,2.15939,3.01527,1.86113,0.15332,0.28571,0.07798,0.03098,1.62173,3.25451,1.4723,0.00117435,0.00117435,0.00117435
11,311.397,2.19197,3.06201,1.87391,1,0.26429,0.30766,0.11093,1.50421,3.37339,1.23715,0.00114606,0.00114606,0.00114606
12,337.708,2.19304,2.94537,1.80867,0.56225,0.14286,0.26304,0.05993,1.60188,3.45887,1.27395,0.00111776,0.00111776,0.00111776
13,365.299,2.11277,2.91936,1.77868,0.33832,0.14286,0.21525,0.10975,1.52432,2.63029,1.20511,0.00108947,0.00108947,0.00108947
14,392.457,2.18993,2.8418,1.84428,0.90874,0.28571,0.33304,0.07489,1.49844,5.80797,1.34574,0.00106118,0.00106118,0.00106118
15,419.879,2.05441,2.81556,1.74656,0.95397,0.28571,0.34096,0.12601,1.38464,3.08841,1.19681,0.00103288,0.00103288,0.00103288
16,448.001,2.00555,2.78431,1.72845,0.43336,0.14286,0.22638,0.07829,1.61291,2.95692,1.48198,0.00100459,0.00100459,0.00100459
17,474.889,2.01396,2.71041,1.70918,0.21558,0.14286,0.13165,0.05482,1.68912,3.00183,1.6791,0.000976293,0.000976293,0.000976293
18,502.286,2.0232,2.70521,1.70379,0.96378,0.28571,0.35061,0.11212,1.70137,2.9193,1.32171,0.000947999,0.000947999,0.000947999
19,528.583,1.97346,2.65829,1.6656,0.84498,0.28571,0.3317,0.13746,1.59924,3.37266,1.26521,0.000919704,0.000919704,0.000919704
20,555.276,1.96504,2.54895,1.68771,0.20001,0.42857,0.33638,0.13006,1.53836,2.64508,1.2618,0.00089141,0.00089141,0.00089141
21,581.801,1.97776,2.65404,1.67745,0.91478,0.28571,0.36657,0.15467,1.50044,4.38812,1.33529,0.000863116,0.000863116,0.000863116
22,609.496,1.94432,2.52414,1.68652,0.93453,0.28571,0.41442,0.1417,1.63635,3.15217,1.27466,0.000834822,0.000834822,0.000834822
23,637.158,2.01953,2.56475,1.722,0.52021,0.42857,0.41912,0.18916,1.50346,3.22008,1.26991,0.000806528,0.000806528,0.000806528
24,664.87,1.85434,2.47488,1.59958,0.46647,0.42857,0.41725,0.13858,1.47366,3.30426,1.25357,0.000778233,0.000778233,0.000778233
25,693.044,1.89162,2.42625,1.6446,0.93903,0.28571,0.37548,0.17145,1.49298,2.94294,1.20247,0.000749939,0.000749939,0.000749939
26,721.164,1.89137,2.33423,1.60574,0.95253,0.28571,0.37743,0.16528,1.40643,3.1792,1.16019,0.000721645,0.000721645,0.000721645
27,748.368,1.85912,2.39142,1.5713,0.35468,0.57143,0.43053,0.16854,1.61317,3.46574,1.27324,0.000693351,0.000693351,0.000693351
28,775.305,1.88542,2.30706,1.59619,0.90103,0.28571,0.4065,0.12905,1.73955,2.97199,1.37197,0.000665057,0.000665057,0.000665057
29,802.102,1.84647,2.29464,1.60936,0.733,0.57143,0.53997,0.20234,1.62133,2.55334,1.30984,0.000636762,0.000636762,0.000636762
30,830.005,1.80161,2.22466,1.57711,0.93573,0.42857,0.50903,0.23456,1.54692,3.50003,1.40642,0.000608468,0.000608468,0.000608468
31,857.092,1.86658,2.25484,1.63471,0.55038,0.42857,0.42062,0.16837,1.6692,2.26033,1.3914,0.000580174,0.000580174,0.000580174
32,884.647,1.75231,2.27159,1.53233,0.62415,0.57143,0.50625,0.22165,1.55312,2.48291,1.26282,0.00055188,0.00055188,0.00055188
33,912.06,1.79344,2.27538,1.54386,0.62916,0.57143,0.45039,0.21617,1.53567,2.58942,1.21539,0.000523586,0.000523586,0.000523586
34,939.49,1.66384,2.16923,1.45477,1,0.40475,0.5517,0.27501,1.54821,2.87907,1.2622,0.000495291,0.000495291,0.000495291
35,966.197,1.74604,2.09167,1.52243,0.68211,0.57143,0.57615,0.29673,1.45977,2.28581,1.22071,0.000466997,0.000466997,0.000466997
36,993.29,1.75021,2.16417,1.54066,0.58407,0.57143,0.52957,0.20625,1.71262,2.13497,1.50159,0.000438703,0.000438703,0.000438703
37,1021.27,1.70033,2.13265,1.47488,0.5646,0.57143,0.54792,0.28952,1.52709,1.93133,1.22352,0.000410409,0.000410409,0.000410409
38,1048.56,1.7149,2.11836,1.50521,0.62635,0.57143,0.50933,0.24547,1.5789,2.1774,1.2751,0.000382115,0.000382115,0.000382115
39,1076.15,1.67425,2.02271,1.48527,0.60118,0.57143,0.50762,0.29397,1.55402,2.28793,1.24176,0.00035382,0.00035382,0.00035382
40,1103.2,1.67002,2.09586,1.46482,0.63733,0.57143,0.53439,0.26028,1.50649,2.492,1.22953,0.000325526,0.000325526,0.000325526
41,1131.4,1.43173,1.86158,1.30485,0.64427,0.57143,0.43868,0.26589,1.49873,1.94822,1.27859,0.000297232,0.000297232,0.000297232
42,1158.08,1.49241,1.77489,1.31181,0.64551,0.57143,0.44992,0.20312,1.71829,2.08421,1.34409,0.000268938,0.000268938,0.000268938
43,1184.64,1.509,1.69552,1.31973,0.76189,0.57143,0.52222,0.27791,1.61767,1.84722,1.31694,0.000240644,0.000240644,0.000240644
44,1212.9,1.46756,1.68577,1.30114,0.76501,0.57143,0.58238,0.33926,1.47151,1.4603,1.23264,0.000212349,0.000212349,0.000212349
45,1239.81,1.48205,1.61722,1.32442,0.77029,0.57143,0.5222,0.28879,1.5159,1.61362,1.25217,0.000184055,0.000184055,0.000184055
46,1267.17,1.38732,1.60196,1.25562,0.77336,0.57143,0.59444,0.37209,1.51419,1.67029,1.25715,0.000155761,0.000155761,0.000155761
47,1294.46,1.46274,1.58627,1.28549,0.754,0.57143,0.53719,0.29055,1.69539,2.0463,1.37303,0.000127467,0.000127467,0.000127467
48,1321.21,1.38238,1.56863,1.26134,0.79476,0.57143,0.62898,0.3703,1.47414,1.56825,1.1898,9.91726e-05,9.91726e-05,9.91726e-05
