epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9825,1.9018,5.43746,1.53493,0.93389,0.14286,0.17848,0.03768,1.86322,9.13364,1.22903,0.000474349,0.000474349,0.000474349
2,53.2401,2.21684,5.05331,1.80122,0.2492,0.4765,0.29266,0.18205,1.33307,8.34434,1.31161,0.000931858,0.000931858,0.000931858
3,75.2398,2.35378,4.8269,1.88693,0.38564,0.14286,0.30282,0.10047,1.77089,9.11251,1.45013,0.00137051,0.00137051,0.00137051
4,97.0517,2.3511,4.60532,1.95904,0.06894,0.14286,0.0261,0.01496,1.92396,7.12723,1.43477,0.00134412,0.00134412,0.00134412
5,119.513,2.3714,4.00692,1.97302,0.6301,0.28571,0.2666,0.12637,1.86112,3.96107,1.47642,0.00131582,0.00131582,0.00131582
6,140.869,2.26741,3.53956,1.96139,0.0018,0.71429,0.02464,0.0074,1.72196,4.80781,1.40258,0.00128753,0.00128753,0.00128753
7,163.099,2.41489,3.38101,1.99324,0.46486,0.37838,0.30802,0.13925,1.63657,3.02089,1.32378,0.00125923,0.00125923,0.00125923
8,184.852,2.33553,3.291,1.96451,0.65622,0.28571,0.31118,0.13781,1.89856,3.63935,1.49018,0.00123094,0.00123094,0.00123094
9,206.597,2.21056,3.12522,1.86731,0.94068,0.28571,0.38521,0.169,1.5075,3.09089,1.24824,0.00120265,0.00120265,0.00120265
10,228.021,2.12847,3.01699,1.85476,0.26662,0.28571,0.22144,0.09494,1.78205,2.4806,1.36229,0.00117435,0.00117435,0.00117435
11,249.623,2.18709,2.94721,1.82997,0.83936,0.14286,0.18684,0.111,1.52971,4.89932,1.24437,0.00114606,0.00114606,0.00114606
12,271.127,2.13544,2.94814,1.82202,0.92979,0.28571,0.4038,0.18715,1.74037,2.17187,1.30209,0.00111776,0.00111776,0.00111776
13,292.564,2.14606,2.90673,1.79709,0.32734,0.28571,0.20912,0.06653,1.81147,2.45878,1.33326,0.00108947,0.00108947,0.00108947
14,314.161,2.16995,2.8535,1.82799,0.55745,0.28571,0.24987,0.07335,1.68951,3.49568,1.40604,0.00106118,0.00106118,0.00106118
15,335.638,2.06112,2.79705,1.75071,0.99339,0.42857,0.4612,0.15063,1.73681,2.0873,1.31685,0.00103288,0.00103288,0.00103288
16,357.082,1.97264,2.75046,1.70806,0.9287,0.28571,0.32708,0.1325,1.64316,2.6259,1.34915,0.00100459,0.00100459,0.00100459
17,378.677,2.03504,2.72039,1.71204,0.19061,0.30414,0.15941,0.05769,1.84555,2.16044,1.38292,0.000976293,0.000976293,0.000976293
18,400.274,1.9839,2.63445,1.67798,0.93936,0.28571,0.37209,0.12756,1.50539,2.50914,1.23458,0.000947999,0.000947999,0.000947999
19,422.206,1.98918,2.67601,1.6782,0.94418,0.28571,0.34818,0.15088,1.63801,2.06788,1.21858,0.000919704,0.000919704,0.000919704
20,444.063,2.02151,2.51569,1.70873,0.5026,0.42857,0.44381,0.20601,1.71029,2.61368,1.31984,0.00089141,0.00089141,0.00089141
21,466.032,1.99903,2.6257,1.67548,0.7357,0.42857,0.4901,0.1942,1.77393,2.33146,1.35676,0.000863116,0.000863116,0.000863116
22,488.11,1.97508,2.50773,1.66309,1,0.42013,0.52373,0.24184,1.5424,1.94535,1.24446,0.000834822,0.000834822,0.000834822
